Author,Year,Study Design,Sample size (dropouts),Cancer Type,Aerobic exercise,Resistance training,Respiratory Muscle Training,Protein supplementation,Dietary councelling,Complete Oral Nutritional Supplement,Micronutrients supplementation,Psychological interventions,Duration of Intervention,Primary Outcome,Functional Capacity,Post-operative complications,Length of hospital stay,Nutritional Status/Body composition,Quality of Life,Neoadjuvant chemotherapy adherence,n_enrolled,n_dropouts,Duration_weeks
Minnella et al.,2018,Randomized Clinical Trial,Prehab - 34 (8) Control - 34 (9),Esophagogastric,Yes,Yes,No,Yes,Yes,No,Not reported,No,36 days,Functional capacity,Improved,No effect,No effect,Not reported,Not reported,No effect,68,17,5.1
Bousquet-Dion et al.,2018,Randomized Controlled Trial,PREHAB+ - 41 (4) REHAB - 32 (6),Colorectal,Yes,Yes,No,Yes,Yes,No,No,Yes,32 days,Functional capacity,No effect,No effect,No effect,Not reported,Not reported,Not reported,73,10,4.6
Carli et al.,2020,Randomized Clinical Trial,Prehab-60 (5) Rehab - 60 (5),Colorectal,Yes,Yes,No,Yes,Yes,No,No,Yes,4 weeks,Postoperative complications,No effect,No effect,No effect,Not reported,No effect,Not reported,120,10,4.0
Fulop A et al.,2021,Randomized Clinical Trial,Prehabilitation - 92 (15) Control - 92 (20),Colorectal,Yes,No,Yes,Yes,Yes,Yes,No,Yes,3-6 weeks,Functional capacity Psychological health,Improved,No effect,No effect,Not reported,Improved,Not reported,184,35,4.5
Ferreira et al.,2021,Randomized Controlled Feasibility Trial,Prehab -24 (6) Control -10 (2),Lung,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4 weeks,Feasibility,No effect,Not reported,Not reported,No effect,No effect,Not reported,34,8,4.0
Molenaar et al.,2023,Randomized Clinical Trial,Prehabilitation – 123 (26) Control– 128 (20),Colorectal,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4 weeks,Functional capacity Postoperative complications,Improved,Improved,No effect,No effect,No effect,Not reported,251,46,4.0
Bausys et al.,2023,Randomized Controlled Trial,Prehabilitation – 64 (5) Control– 64 (5),Gastric,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,92 days,Postoperative complications,Improved,Improved,No effect,Not reported,Improved,Improved,128,10,13.1
Liu et al.,2020,Randomized Controlled Trial,Prehabilitation – 43 (6) Control – 42 (6),Lung,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2 weeks,Functional capacity,Improved,No effect,No effect,Not reported,No effect,Not reported,85,12,2.0
Ausania et al.,2019,Randomized Controlled Trial,Prehabilitation – 18 (6) Control – 22 (2),Pancreatic,Yes,Yes,Yes,Not reported,Yes,Yes,Yes,No,12.6 days,Postoperative complications,Improved,No effect,No effect,Not reported,Not reported,Not reported,40,8,1.8
Minnella et al.,2021,Randomized Controlled Trial,Prehabilitation – 35 (16) Control – 35 (14),Bladder,Yes,Yes,No,Yes,Yes,No,No,Yes,27 days,Functional capacity,Improved,No effect,No effect,Not reported,No effect,Not reported,70,30,3.9
Triguero‑Cánovas et al.,2023,Randomized Controlled Trial,Prehabilitation – 30 (7) Control – 30 (9),Colorectal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,preoperative period and continued for 6–8 weeks after surgery.,Functional capacity,Improved,No effect,No effect,Not reported,Not reported,Not reported,60,16,6.0
Bojesen et al.,2023,Randomized Controlled Trial,Prehabilitation – 19 (3) Control– 21 (1),Colorectal,Yes,Yes,No,Yes,Yes,No,Yes,No,4 weeks,Quality of Recovery-15 (QoR-15),No effect,No effect,No effect,Improved,Not reported,Not reported,40,4,4.0
Brahmbhatt et al.,2024,Feasibility Randomized Controlled Trial,Prehabilitation – 35 (3) Control – 37 (6),Breast,Yes,Yes,No,Not reported,Yes,Not reported,Not reported,Yes,For the duration of NACT,Feasibility,Improved,Not reported,Not reported,No effect,Improved,Not reported,72,9,
Mu et al.,2026,Randomized Controlled Trial,Prehabilitation - 75 (9) Control– 75 (10),Gastric,Yes,Yes,Yes,Yes,Not reported,Yes,Not reported,Yes,1 week,Postoperative complications,Improved,Improved,Improved,Improved,Improved,Not reported,150,19,1.0
Liu et al.,2026,Randomized Controlled Trial,Prehabilitation – 45 (2) Control – 45 (3),Gastric,Yes,Yes,No,Not reported,Yes,Yes,Yes,Yes,14.2 weeks,Functional capacity,Improved,Improved,Improved,Improved,Improved,Improved,90,5,14.2
Kawata et al.,2025,Randomized Controlled Trial,m-Prehab – 25 (0) Control – 25 (1),Esophageal,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2 weeks,Change in anerobic thershold,No effect,No effect,No effect,Improved,Not reported,Not reported,50,1,2.0
Sugimura et al.,2025,Randomized Controlled Trial,Prehabilitation (Group C) – 33 (2) Exercise Only (Group B) – 31 (5) Control (Group A) – 35 (4),Esophageal,Yes,Yes,No,Yes,Yes,No,No,No,8.7 weeks,Change in skeletal muscle mass,Improved,No effect,No effect,Improved,Not reported,No effect,99,11,8.7
Yamamoto et al.,2026,Randomized Controlled Trial,Prehabilitation – 54 (5) Control – 56 (4),Gastric,Yes,Yes,No,Yes,Not reported,No,No,No,17 days,Change in lean body mass,No effect,No effect,No effect,Improved,Not reported,Not reported,110,9,2.4
Yuan and Chu,2025,Randomized Controlled Trial,Prehabilitation – 52 (10) Control – 52 (6),Periampullary,Yes,No,Yes,Yes,Yes,Yes,No,Yes,2 weeks,Functional capacity,Improved,Improved,Not reported,Not reported,Improved,Not reported,104,16,2.0
Tai et al.,2026,Randomized Controlled Trial,Prehabilitation – 100 (0) Control – 100 (0),Colorectal,Yes,No,Yes,Yes,Yes,Yes,No,Yes,7 days,Functional capacity,Improved,No effect,Improved,Not reported,Not reported,Not reported,200,0,1.0
Waller et al.,2022,Randomised controlled pilot study,Prehabilitation – 11 (0) Control – 11 (0),Abdominal,Yes,Yes,No,No,Yes,No,No,Yes,30.5 days,Functional capacity,Improved,Not reported,Not reported,No effect,No effect,Not reported,22,0,4.4
Li et al.,2024,Randomized Clinical Trial (quasi-randomisation),Prehabilitation – 68 (6) Control– 68 (10),Gastric,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,7-9 weeks,Functional capacity Nutritional status,Improved,Improved,Improved,Improved,Not reported,Not reported,136,16,8.0
Ferreira et al.,2021,Randomized Controlled Trial,Prehabilitation – 52 (14) Rehabilitation – 43 (15),Lung,Yes,Yes,No,Yes,Yes,No,No,Yes,4 weeks,Functional capacity,No effect,No effect,No effect,Not reported,Improved,Not reported,95,29,4.0
